No,母馬優先対象,募集馬名,母馬名,母馬の馬齢,経過年数t,産駒数,入厩,父,母の父,性別,生月,提供牧場,募集総額_万円,1口円,厩舎,馬体重,年内平均からの馬体重差,スコア
1,0,ブランノワールの25,ブランノワール,10,9,3,関東,イクイノックス,ロードカナロア,牡馬,4,ノーザンF,8000万,200000,武井亮,420.0,-22.2,4
2,0,カリプソIIの25,カリプソII,8,7,1,関東,イクイノックス,Brody's Cause,めす,3,ノーザンF,7000万,175000,宮田敬介,468.0,25.8,3
3,0,ジェイウォークの25,ジェイウォーク,10,9,3,関東,イクイノックス,Cross Traffic,めす,3,ノーザンF,8000万,200000,木村哲也,424.0,-18.2,3
4,1,ミリッサの25,ミリッサ,12,11,4,関東,エフフォーリア,ダイワメジャー,牡馬,2,ノーザンF,7000万,175000,木村哲也,430.0,-12.2,4
5,1,エールデュレーヴの25,エールデュレーヴ,13,12,6,関東,エフフォーリア,ディープインパクト,牡馬,4,ノーザンF,5000万,125000,鹿戸雄一,430.0,-12.2,5
6,1,フィリアプーラの25,フィリアプーラ,10,9,3,関東,エフフォーリア,ハービンジャー,めす,1,ノーザンF,6000万,150000,森一誠,440.0,-2.2,3
7,0,トレジャーステイトの25,トレジャーステイト,14,13,7,関東,キタサンブラック,Oasis Dream,牡馬,2,ノーザンF,10000万,250000,宮田敬介,454.0,11.8,3
8,1,スルーセブンシーズの25,スルーセブンシーズ,8,7,1,関東,キタサンブラック,ドリームジャーニー,めす,1,ノーザンF,7000万,175000,尾関知人,473.0,30.8,2
9,0,ライラックスアンドレースの25,ライラックスアンドレース,18,17,10,関東,キズナ,Flower Alley,牡馬,3,ノーザンF*,6800万,170000,加藤士津八,415.0,-27.2,3
10,1,アールブリュットの25,アールブリュット,14,13,5,関東,キズナ,マクフィ,牡馬,5,ノーザンF,12000万,300000,田中博康,444.0,1.8,3
11,1,シーリアの25,シーリア,11,10,4,関東,キズナ,キングカメハメハ,牡馬,5,ノーザンF,8000万,200000,辻哲英,402.0,-40.2,3
12,0,プレシャライジングの25,プレシャライジング,16,15,7,関東,キズナ,Henrythenavigator,めす,2,ノーザンF,5000万,125000,鹿戸雄一,452.0,9.8,3
13,1,ハープスターの25,ハープスター,15,14,4,関東,エピファネイア,ディープインパクト,牡馬,3,ノーザンF,8000万,200000,田中博康,443.0,0.8,4
14,1,コルコバードの25,コルコバード,13,12,5,関東,エピファネイア,ステイゴールド,めす,1,ノーザンF,7000万,175000,木村哲也,479.0,36.8,2
15,1,ファーストフォリオの25,ファーストフォリオ,9,8,2,関東,コントレイル,キングカメハメハ,牡馬,3,ノーザンF,8000万,200000,堀宣行,415.0,-27.2,4
16,0,アトミカオロの25,アトミカオロ,12,11,6,関東,コントレイル,Orpen,めす,2,ノーザンF,5000万,125000,上原佑紀,467.0,24.8,4
17,0,レッドティーの25,レッドティー,13,12,5,関東,スワーヴリチャード,Sakhee,牡馬,3,ノーザンF,6000万,150000,斎藤誠,438.0,-4.2,4
18,1,エルカスティージョの25,エルカスティージョ,8,7,2,関東,スワーヴリチャード,ロードカナロア,めす,1,ノーザンF,4600万,115000,加藤征弘,471.0,28.8,3
19,1,プルメリアスターの25,プルメリアスター,14,13,7,関東,ロードカナロア,ゼンノロブロイ,牡馬,3,ノーザンF,6000万,150000,千葉直人,436.0,-6.2,4
20,0,マハーバーラタの25,マハーバーラタ,18,17,10,関東,ロードカナロア,ディープインパクト,めす,3,ノーザンF,4000万,100000,青木孝文,423.0,-19.2,3
21,0,アーデルハイトの25,アーデルハイト,19,18,11,関東,サートゥルナーリア,アグネスタキオン,牡馬,4,ノーザンF,5600万,140000,高柳瑞樹,431.0,-11.2,5
22,1,リカビトスの25,リカビトス,12,11,5,関東,シュネルマイスター,ディープブリランテ,牡馬,3,ノーザンF,5000万,125000,奥村武,410.0,-32.2,5
23,1,ゴールドティアの25,ゴールドティア,9,8,2,関東,アドマイヤマーズ,キングカメハメハ,めす,1,ノーザンF,3200万,80000,松尾卓哉,442.0,-0.2,4
24,1,パドゥヴァルスの25,パドゥヴァルス,9,8,4,関東,アドマイヤマーズ,エピファネイア,めす,1,ノーザンF,3000万,75000,勢司和浩,442.0,-0.2,4
25,1,アンフィトリテの25,アンフィトリテ,11,10,5,関東,モーリス,ロードカナロア,牡馬,4,ノーザンF,5000万,125000,林徹,447.0,4.8,6
26,0,ショウナンパンドラの25,ショウナンパンドラ,15,14,8,関東,モーリス,ディープインパクト,めす,2,ノーザンF,5000万,125000,中舘英二,426.0,-16.2,2
27,1,ブロンディーヴァの25,ブロンディーヴァ,9,8,2,関東,ニューイヤーズデイ,スマートファルコン,牡馬,1,ノーザンF,3200万,80000,高木登,474.0,31.8,5
28,1,グリューヴァインの25,グリューヴァイン,14,13,7,関東,ニューイヤーズデイ,ゴールドアリュール,めす,3,ノーザンF,3000万,75000,戸田博文,432.0,-10.2,4
29,0,モンペルデュの25,モンペルデュ,10,9,4,関東,リアルスティール,Cairo Prince,牡馬,3,ノーザンF,6000万,150000,栗田徹,421.0,-21.2,4
30,0,ゴールデンプルーフの25,ゴールデンプルーフ,8,7,2,関東,リアルスティール,トーセンジョーダン,めす,2,ノーザンF,3600万,90000,蛯名正義,429.0,-13.2,2
31,1,サンクテュエールの25,サンクテュエール,9,8,2,関東,ドレフォン,ディープインパクト,牡馬,1,ノーザンF,6000万,150000,西田雄一郎,422.0,-20.2,3
32,0,デイトユアドリームの25,デイトユアドリーム,20,19,11,関東,ルヴァンスレーヴ,トワイニング,牡馬,3,ノーザンF,2800万,70000,金成貴史,407.0,-35.2,4
33,1,クルミナルの25,クルミナル,14,13,7,関東,ウエストオーバー,ディープインパクト,牡馬,2,ノーザンF,6000万,150000,森一誠,487.0,44.8,3
34,1,メルヴィルの25,メルヴィル,7,6,1,関東,クリソベリル,ミッキーアイル,めす,3,ノーザンF,2400万,60000,高橋文雅,420.0,-22.2,2
35,0,ナンシーフロムナイロビの25,ナンシーフロムナイロビ,15,14,5,関東,パレスマリス,Sixties Icon,めす,2,ビッグレッドF*,3000万,75000,嘉藤貴行,425.0,-17.2,1
36,1,シーズンズギフトの25,シーズンズギフト,9,8,2,関東,ピクシーナイト,エピファネイア,めす,1,ノーザンF,3600万,90000,黒岩陽一,489.0,46.8,4
37,1,バイラオーラの25,バイラオーラ,20,19,9,関東,ホットロッドチャーリー,トワイニング,めす,4,ノーザンF,2000万,50000,竹内正洋,400.0,-42.2,2
38,0,シャトンアンジュの25,シャトンアンジュ,7,6,1,関東,ルーラーシップ,ディープインパクト,めす,3,ノーザンF,2000万,50000,柄崎将寿,414.0,-28.2,2
39,1,セレナズヴォイスの25,セレナズヴォイス,9,8,5,関東,チュウワウィザード,オナーコード,めす,1,白老F,1800万,45000,柄崎将寿,457.0,14.8,2
40,1,ジェムフェザーの25,ジェムフェザー,8,7,1,関東,マジェスティックウォリアー,ディープインパクト,牡馬,1,ノーザンF,3200万,80000,伊藤大士,456.0,13.8,4
41,1,シャイントレイルの25,シャイントレイル,12,11,3,関東,ミッキーアイル,ヴィクトワールピサ,めす,3,ノーザンF,2800万,70000,矢野英一,440.0,-2.2,5
42,0,パストフォリアの25,パストフォリア,17,16,7,関東,リオンディーズ,シンボリクリスエス,牡馬,4,ノーザンF,6000万,150000,宮田敬介,438.0,-4.2,4
